t,o,h,l,c
1782792300,7506.25,7506.25,7505.5,7505.75
1782792600,7506,7507,7505.5,7506.75
1782792900,7506.75,7507,7505.75,7506.25
1782793200,7506.25,7508,7506,7507
1782793500,7507,7509,7506.75,7508.75
1782793800,7509,7510,7507.75,7510
1782794100,7510,7513,7510,7512.75
1782794400,7512.5,7513.25,7511.75,7513
1782794700,7513,7513.5,7510.25,7511.5
1782795000,7511.75,7512.5,7510,7511.25
1782795300,7511,7512.25,7510.5,7510.75
1782795600,7510.75,7515,7510.75,7512.5
1782795900,7512.25,7513,7511.75,7511.75
1782796200,7511.5,7512.75,7511,7512.75
1782796500,7512.5,7513,7510.25,7510.75
1782796800,7511,7513.25,7510.5,7512.75
1782797100,7513,7513.25,7508,7508.5
1782797400,7508.75,7508.75,7505,7505.75
1782797700,7505.5,7506.5,7503.75,7506
1782798000,7506,7509,7506,7506.5
1782798300,7506.75,7508.5,7506.25,7508.5
1782798600,7508.75,7510.5,7507.75,7509.75
1782798900,7509.75,7511,7509,7510.25
1782799200,7510.25,7511.5,7509,7510.25
1782799500,7510,7510.25,7507.5,7507.75
1782799800,7508,7510.25,7507.25,7508.5
1782800100,7508.5,7508.5,7506.5,7507
1782800400,7506.75,7506.75,7504.75,7505.75
1782800700,7505.5,7508.75,7502.75,7508
1782801000,7508,7508.5,7501.5,7503
1782801300,7503,7505.5,7502.5,7504
1782801600,7504.25,7505.25,7502.75,7503
1782801900,7502.75,7507.25,7502.25,7507.25
1782802200,7507,7507.25,7505.75,7506.25
1782802500,7506.5,7508.75,7506,7508.75
1782802800,7508.75,7511.5,7507.25,7510.25
1782803100,7510.25,7512.75,7508.25,7508.75
1782803400,7508.5,7508.5,7505.25,7506
1782803700,7505.75,7507.75,7505,7505.25
1782804000,7505.25,7508.75,7504.5,7508.25
1782804300,7508.25,7509.5,7507.25,7507.75
1782804600,7507.75,7509.5,7507,7507.75
1782804900,7508,7510,7507.25,7507.25
1782805200,7507.5,7508.5,7506.75,7507
1782805500,7507.25,7507.25,7504,7505.75
1782805800,7505.5,7505.5,7501,7503.75
1782806100,7503.75,7504.25,7501.5,7502
1782806400,7501.75,7508.75,7501.25,7505
1782806700,7505,7508.25,7504.5,7505.75
1782807000,7505.75,7508,7502.75,7502.75
1782807300,7502.75,7503.75,7499.5,7503.5
1782807600,7503.5,7508,7503.25,7508
1782807900,7508,7509,7506.5,7508.75
1782808200,7508.5,7510.25,7502,7502.5
1782808500,7502.5,7503,7497.5,7498
1782808800,7497.75,7499.25,7495,7498.5
1782809100,7498.75,7499,7494.75,7495.75
1782809400,7496,7500.75,7494,7500.75
1782809700,7500.75,7503,7500,7501.75
1782810000,7502,7504.5,7500.5,7504
1782810300,7503.75,7504.25,7501.5,7501.75
1782810600,7501.75,7504.5,7501,7503.75
1782810900,7503.75,7505.75,7503.5,7504.5
1782811200,7504.75,7505,7503,7503.5
1782811500,7503.75,7504.75,7502.5,7502.75
1782811800,7502.75,7503.25,7498.75,7499.5
1782812100,7499.25,7504,7499.25,7503.75
1782812400,7504,7505.5,7503.5,7504.75
1782812700,7504.5,7508,7504.5,7507.5
1782813000,7507.75,7508.25,7506.25,7507
1782813300,7507,7508,7505.75,7506
1782813600,7506.25,7506.75,7504,7505.25
1782813900,7505,7508.75,7505,7507.25
1782814200,7507.25,7507.25,7505,7507.25
1782814500,7506.75,7508.5,7506.75,7508
1782814800,7507.75,7508.75,7506,7506.25
1782815100,7506.25,7508.5,7506.25,7508.25
1782815400,7508.25,7509.25,7506,7506.5
1782815700,7506.25,7506.75,7504.25,7506
1782816000,7505.75,7508,7505.5,7507
1782816300,7507,7510.75,7505.5,7509.75
1782816600,7509.75,7511.25,7508.75,7510.75
1782816900,7510.75,7515,7510,7513.25
1782817200,7513,7514.75,7511.25,7514
1782817500,7514.25,7517,7514.25,7515.75
1782817800,7515.75,7517,7514.75,7516.5
1782818100,7516.75,7517.5,7514.75,7515
1782818400,7515.25,7515.75,7511.5,7511.75
1782818700,7511.5,7512.25,7509,7511.5
1782819000,7511.75,7512.75,7509.75,7511
1782819300,7511,7512.25,7510,7511
1782819600,7510.75,7515.25,7510.75,7514.25
1782819900,7514.25,7517.5,7514,7516.75
1782820200,7516.75,7517.5,7513,7513.5
1782820500,7513.5,7513.5,7510,7510.5
1782820800,7510.75,7511,7504.25,7505.25
1782821100,7505.25,7506.25,7503,7504.25
1782821400,7504.25,7507.75,7501.5,7502.75
1782821700,7502.5,7503.25,7500.25,7501.75
1782822000,7501.75,7502.5,7497.5,7499
1782822300,7499,7499.75,7495.75,7496
1782822600,7496,7497.5,7491.5,7494.25
1782822900,7494.25,7498,7494,7498
1782823200,7498,7500.75,7497,7499.5
1782823500,7499.5,7501,7498,7500.75
1782823800,7500.75,7502,7499.5,7500.25
1782824100,7500,7500.75,7496.25,7497
1782824400,7497,7498.75,7494.75,7495.25
1782824700,7495.5,7498.25,7494.25,7495.5
1782825000,7495.75,7499.5,7495.5,7496.5
1782825300,7496.5,7498,7495.25,7497.25
1782825600,7497,7498,7492.25,7492.75
