t,o,h,l,c
1713326400,17929,17935.75,17778.25,17878
1713340800,17878,17942.75,17862.5,17909.5
1713355200,17909.25,17968.5,17726.25,17747.75
1713369600,17747.25,17796.5,17615.25,17654.5
1713384000,17654.25,17700.5,17638.5,17696
1713402000,17696.75,17736.5,17691.75,17725.5
1713416400,17726,17770.75,17709,17722.5
1713430800,17722.5,17731.5,17663.5,17681
1713445200,17681.5,17746,17552,17610
1713459600,17610.25,17625,17506.25,17529.5
1713477600,17530.75,17542.75,17234.25,17276.75
1713492000,17274.75,17391.75,17181.75,17371.5
1713506400,17371.5,17464.25,17354,17435
1713520800,17434.75,17553.25,17408.5,17455.25
1713535200,17454.5,17474,17203.75,17289.25
1713549600,17289.25,17291.75,17113.25,17257.5
1713740400,17257.25,17273,17200.75,17241.5
1713754800,17240,17305.5,17235.25,17300.5
1713769200,17300,17314.25,17233.5,17279.5
1713783600,17280,17331.5,17168,17185.5
1713798000,17185.75,17448,17148.5,17411
1713812400,17410.75,17419,17286.25,17322.5
1713830400,17322.25,17338.5,17291.5,17333
1713844800,17331.25,17370,17317.5,17363.5
1713859200,17364.75,17429.75,17364.75,17391
1713873600,17391.25,17607.5,17360,17563.75
1713888000,17564,17657.25,17564,17607.75
1713902400,17607.75,17720.5,17592,17714.25
1713920400,17714.25,17745.25,17708.75,17728
1713934800,17728.25,17747.25,17690.75,17696
1713949200,17696.5,17754.75,17667,17705.25
1713963600,17705.25,17795.5,17567.25,17622.75
1713978000,17623,17705.25,17481.75,17507.25
1713996000,17450,17494.5,17437.5,17461.75
1714010400,17462,17474,17415,17422.5
1714024800,17422,17525,17407.5,17516
1714039200,17516.75,17521.25,17308.25,17356.5
1714053600,17357.25,17580.5,17329.5,17567.75
1714068000,17567.75,17827.5,17492.5,17776.75
1714086000,17776.25,17782,17742.25,17763.25
1714100400,17763.25,17793.75,17755.25,17773
1714114800,17773,17773.75,17712.25,17727.5
1714129200,17727.5,17860,17668.25,17854.25
1714143600,17854.5,17901.5,17814.25,17867.75
1714158000,17867.25,17890,17830.5,17886.5
1714348800,17886.5,17912.75,17875,17901
1714363200,17901.25,17922.75,17882.25,17905.25
1714377600,17905.5,17920.75,17865,17913.5
1714392000,17913.25,17949,17830,17888
1714406400,17888.25,17931.5,17791.25,17905.25
1714420800,17905,17932,17897.25,17905.5
1714438800,17904.75,17920.25,17902.25,17905
1714453200,17905.25,17910.75,17870.25,17870.25
1714467600,17871,17896,17790.5,17827
1714482000,17826.5,17895.25,17682.25,17704.5
1714496400,17704.5,17745.25,17473.5,17508.5
1714514400,17462.5,17519,17453.75,17511
1714528800,17511.75,17529,17501.5,17508.25
1714543200,17507.5,17517,17421.5,17436
1714557600,17436.25,17518.5,17412,17475
1714572000,17477.25,17506.25,17399.25,17468.5
1714586400,17469.25,17793.25,17425.25,17501.75
1714604400,17501.75,17561.25,17495.25,17555.25
1714618800,17555.25,17560.25,17529.5,17537
1714633200,17537,17605,17519.5,17594
1714647600,17595.75,17619.75,17386.5,17528.25
1714662000,17528.75,17671.5,17488.25,17664.75
1714676400,17664.75,17808.25,17611.75,17754.5
1714694400,17753.75,17787,17737.5,17763.5
1714708800,17763,17763.75,17719.5,17746.75
1714723200,17746.25,17779,17740.25,17747.75
1714737600,17747,18050.25,17743.25,17987
1714752000,17987,18027.75,17962,18001.25
1714766400,18001.5,18063.75,17995,18006
1714957200,18006,18014.5,17989.5,17995
1714971600,17994.25,18036.5,17983.75,18028.25
1714986000,18028.5,18072.75,18025,18059.25
1715000400,18058.75,18121.5,18042.75,18117.5
1715014800,18117.75,18201.25,18093,18185.5
1715032800,18189.5,18196.75,18168.75,18181.5
1715047200,18181.25,18188.25,18176.5,18179.75
1715061600,18180,18199,18155,18174.5
1715076000,18173.75,18236,18151,18193.5
1715090400,18193.25,18266.25,18181.75,18193.75
1715104800,18194.25,18220.75,18166.5,18203.5
1715122800,18203.5,18215.25,18194.75,18201.5
1715137200,18201.25,18203.25,18181,18197
1715151600,18197,18216.75,18179.75,18181.75
1715166000,18182.5,18242.25,18072.5,18218.5
1715180400,18218.25,18235.25,18138.75,18172
1715194800,18172.75,18201.5,18153.25,18161.5
1715212800,18162,18176.75,18153.25,18158.75
1715227200,18159.75,18162,18120,18125.75
1715241600,18126.5,18164.5,18103.75,18156.75
1715256000,18156.5,18237.25,18108.75,18178.75
1715270400,18179,18239.25,18170,18215.5
1715284800,18215.5,18244.75,18211,18231.25
1715302800,18231.5,18234.75,18213.5,18227.5
1715317200,18227.75,18291.5,18221.75,18291.25
1715331600,18290.75,18306.75,18249.75,18252.75
1715346000,18253.25,18348,18188.5,18245
1715360400,18244.75,18271,18207.5,18239.25
1715551200,18238,18263.5,18228.75,18260.25
1715565600,18260.5,18298.5,18252.25,18297
1715580000,18297,18302.25,18273.75,18289.75
1715594400,18288.5,18336.25,18252.5,18286
1715608800,18286.25,18311.5,18235,18284.25
1715623200,18283.75,18301,18267.5,18283
1715641200,18283,18289.75,18269.5,18271.5
1715655600,18271.75,18291.5,18262.75,18289.75
1715670000,18289.75,18308.75,18283.5,18302.5
1715684400,18302.5,18370.75,18165.5,18339
1715698800,18339,18415.75,18298,18409.75
1715713200,18409.75,18433,18397.25,18417.25
1715731200,18417,18438.25,18399.75,18424.5
1715745600,18423.75,18423.75,18393,18403
1715760000,18403,18421.25,18398.25,18410.5
1715774400,18410.75,18605,18393.5,18593.75
1715788800,18594.25,18707,18577.25,18693
1715803200,18692.75,18735.25,18665.75,18727.5
1715821200,18727.5,18738.75,18713,18724.5
1715835600,18724.5,18734,18706,18720
1715850000,18720.25,18735,18686.5,18694.75
1715864400,18695,18760.75,18672,18733.5
1715878800,18733.75,18741,18633.25,18638.25
1715896800,18642,18667,18638.5,18664.25
1715911200,18664.5,18665.75,18644.5,18663.25
1715925600,18663.75,18674.5,18617,18654.5
1715940000,18654.5,18686.75,18620.5,18638.5
1715954400,18638.5,18677,18607.75,18615.25
1715968800,18615.5,18658.25,18545,18654
1716159600,18654.25,18676.5,18653,18674.25
1716174000,18674.25,18679.25,18662,18665
1716188400,18665.25,18678.5,18653.75,18676.5
1716202800,18677,18772,18635.25,18743.5
1716217200,18743.75,18794.5,18707,18748.75
1716231600,18748.75,18784,18738,18751.75
1716249600,18751.5,18759.5,18741,18751.5
1716264000,18751.25,18763.25,18741.75,18754.5
1716278400,18754.5,18760,18729,18750.5
1716292800,18751.25,18763.5,18678,18745
1716307200,18745,18808.75,18734,18800.75
1716321600,18800.5,18817,18793.5,18810.5
1716339600,18810.5,18824,18806.5,18809.25
1716354000,18809.5,18820.75,18786,18792.5
1716368400,18792.5,18811.5,18755,18803
1716382800,18802.75,18838.5,18788.75,18803.75
1716397200,18803.5,18891,18684.25,18816.25
1716415200,18860.5,18910.5,18843.25,18901.25
1716429600,18901,18970.5,18898,18950.5
1716444000,18950,18954.75,18928.5,18946.5
1716458400,18946.5,19023.25,18838.25,18851.75
1716472800,18852,18933.5,18711.25,18716.5
1716487200,18716.5,18725.25,18621.5,18693.5
1716505200,18694,18731.25,18692.75,18722.75
1716519600,18722.25,18724.25,18689.5,18693
1716534000,18693.5,18753.5,18682.75,18745.5
1716548400,18746.25,18866.75,18723.5,18862
1716562800,18862.25,18926,18858.75,18870.75
1716577200,18870.5,18886.5,18835.5,18836.5
1716768000,18836.75,18856.75,18833.5,18851.75
1716868800,18927.25,18943.25,18909.25,18919.5
1716883200,18919,18979.25,18909.25,18925.75
1716897600,18925.75,18939.5,18839,18922.5
1716912000,18922.5,18945.5,18819.5,18943.25
1716926400,18943.5,18967.5,18902.75,18908.75
1716944400,18909,18918,18874.25,18897.25
1716958800,18897.5,18900.25,18802.25,18823.25
1716973200,18823.75,18835.25,18772.75,18780.25
1716987600,18780.5,18879.75,18755.5,18871.25
1717002000,18871.5,18874.5,18740,18746.75
1717020000,18753,18764.5,18704.5,18713.25
1717034400,18713.5,18718.5,18659,18674.25
1717048800,18674.75,18738,18657.75,18730.25
1717063200,18730.5,18787,18697,18739
1717077600,18739,18752.75,18623.75,18702.75
1717092000,18702.75,18705,18546.25,18570
1717110000,18569.75,18578.75,18502.5,18526.75
1717124400,18526.25,18606.5,18526.25,18550
