t,o,h,l,c
1631160000,15610,15675.75,15545.75,15558.75
1631246400,15561,15668,15433.5,15441.5
1631505600,15452.5,15565,15350.25,15436.75
1631592000,15452.25,15530.75,15351.25,15387
1631678400,15395.5,15521.75,15315.25,15504
1631764800,15516.5,15542,15369.5,15517.75
1631851200,15502.75,15547,15474,15486.669921875
1632110400,15284,15338.25,14807.5,15009.5
1632196800,14992,15163.25,14963.25,15024
1632283200,14992.75,15227,14930.5,15163.5
1632369600,15178.25,15347,15175.25,15303.5
1632456000,15300.25,15334.25,15176.75,15318.75
1632715200,15319,15399.25,15084,15194.75
1632801600,15172.25,15192.25,14740.75,14764.75
1632888000,14769.25,14926,14711,14739.75
1632974400,14769.75,14883.5,14670.25,14682.5
1633060800,14702.25,14818,14537,14761.75
1633320000,14785,14835,14367.75,14462.25
1633406400,14493.75,14754.75,14410.5,14655.25
1633492800,14662,14770,14422.5,14759
1633579200,14768,15001.25,14767,14881.25
1633665600,14891.25,14996,14790.75,14808.25
1633924800,14810.25,14897.25,14677,14700.5
1634011200,14688.5,14783.25,14585.5,14653.25
1634097600,14594,14795.75,14591,14764.25
1634184000,14770.25,15071.5,14767.5,15037.25
1634270400,15063.75,15145,15020.75,15134.5
1634529600,15145,15297.25,15038.75,15290.5
1634616000,15289.75,15428.25,15269,15398.5
1634702400,15411,15446.5,15319,15377.5
1634788800,15357.5,15483.75,15301,15478.75
1634875200,15383,15463.5,15273.75,15341
1635134400,15324.25,15546,15295.75,15495.75
1635220800,15543,15701,15503,15545
1635307200,15532.25,15717.5,15507.25,15587.25
1635393600,15595,15777,15591.75,15764.75
1635480000,15679.75,15864.75,15595.5,15838.5
1635739200,15885.25,15914.75,15768.5,15894.25
1635825600,15891,15980.25,15849.5,15961.25
1635912000,15957.75,16145.75,15935.25,16129.75
1635998400,16129.5,16376,16129.5,16330.75
1636084800,16335,16448.5,16292,16351.75
1636347600,16293,16394,16256,16327.75
1636434000,16315.5,16391.75,16160,16212.75
1636520400,16201.25,16243,15896.5,15980.5
1636606800,15989,16114,15976,16022.75
1636693200,16043.75,16213.25,16001.75,16192.75
1636952400,16212.25,16276.5,16082.25,16187.75
1637038800,16198.5,16323.75,16142,16300.75
1637125200,16297.75,16396.5,16270,16311.5
1637211600,16322.5,16508,16303.5,16481.25
1637298000,16503.25,16628.5,16490.25,16575
1637557200,16600.25,16767.5,16364.5,16382
1637643600,16399,16418.75,16118.5,16312
1637730000,16300.25,16368.5,16102,16366
1637937000,16360,16436,15988,16051
1638162000,16046.5,16437.75,16038,16390.75
1638248400,16419,16456.25,16068.75,16150.5
1638334800,16238.75,16427.5,15825.25,15869.75
1638421200,15891.75,16066.25,15762.75,15988.5
1638507600,16020,16121.75,15538,15717.75
1638766800,15716.25,15897.25,15559.25,15842.75
1638853200,15848.75,16374.5,15824.5,16318
1638939600,16360.5,16436.75,16251.5,16392.25
1639026000,16380.5,16420,16120.25,16148.75
1639112400,16158.5,16335.75,16133.75,16329.75
1639371600,16321.75,16411.25,16064.25,16082
1639458000,16085,16133.75,15738.5,15924.75
1639544400,15928.5,16302.5,15744.5,16288
1639630800,16288.5,16459.25,15800.25,15870.5
1639717200,15873,15902,15668,15717.3203125
1639976400,15809.5,15851.75,15492,15621.25
1640062800,15674.25,15987.25,15605,15980
1640149200,15979,16183,15881.5,16169.75
1640235600,16180,16356,16145.25,16299
1640581200,16304.25,16580.75,16304.25,16560
1640667600,16565.75,16659.5,16452.25,16488
1640754000,16513.5,16564.25,16387.5,16490.5
1640840400,16484.5,16567.5,16411.25,16430.25
1640926800,16431,16464,16313.75,16320.75
1641186000,16356,16508,16292,16485.5
1641272400,16497.75,16564,16139.5,16275.75
1641358800,16265,16269,15752.75,15766.5
1641445200,15763.75,15895.75,15598.5,15759
1641531600,15801.75,15852.75,15510,15581
1641790800,15590,15669,15152.5,15608
1641877200,15622.25,15839.5,15475,15831
1641963600,15826,16009.25,15762.5,15887.25
1642050000,15901,15979.75,15458.25,15490.25
1642136400,15505,15621,15312.5,15595.75
1642482000,15616.75,15653.25,15170.75,15206
1642568400,15238.75,15372,15011.25,15033.5
1642654800,15042.25,15340.25,14646.75,14841
1642741200,14722,14858.5,14408.5,14426.5
1643000400,14410,14582,13706,14501
1643086800,14495,14499,13890,14140.75
1643173200,13945.5,14639.75,13945.5,14158.5
1643259600,14194,14409.25,13844.5,13986.75
1643346000,14167.75,14442,13831,14433
1643605200,14454,14914.75,14353.25,14905
1643691600,14868.75,15137,14729.25,14994.75
1643778000,15129,15260,14825,15114.5
1643864400,14852.5,14870,14456.25,14492.25
1643950800,14770,14825.75,14362.75,14685.5
1644210000,14682.5,14806.25,14511.5,14559.75
1644296400,14600,14776,14467.5,14734.5
1644382800,14746.25,15068,14741,15038.25
1644469200,15062.25,15062.25,14622,14701
1644555600,14698.25,14766.75,14181,14240.5
1644814800,14250,14394,14031,14253
1644901200,14257,14614.75,14223.25,14609.5
1644987600,14588,14668.5,14381,14600
1645074000,14592.25,14619.5,14131.5,14164.75
1645160400,14156.25,14299,13906.25,13996
1645506000,13952.75,14157.5,13580.25,13862.75
1645592400,13928.25,14068.75,13471.25,13507.5
1645678800,13484.25,13983.25,13025.75,13966.5
1645765200,13909.5,14196.25,13760.25,14180.5
1646024400,13900.25,14292.25,13683,14228
1646110800,14219.25,14327.75,13900,14005.5
1646197200,14026.25,14290,13911.5,14239.25
1646283600,14196.5,14391,13955,14030.5
1646370000,14069.25,14086.5,13733.75,13839.75
1646629200,13763.5,13879.75,13265,13320.75
1646715600,13283,13666,13103.25,13267
1646802000,13192.25,13821.75,13189.75,13734.75
1646888400,13778,13778,13396.25,13586
1646974800,13577.25,13860.75,13281.75,13292
1647230400,13362,13447.5,13015.5,13045.5
1647316800,13082,13489,12944,13451.75
1647403200,13451.75,14029.25,13420.5,13953
1647489600,13999,14136.25,13822.75,14111.75
1647576000,14060,14095.3095703125,13970.5,14095.3095703125
1647835200,14404,14466.75,14183.75,14370.5
1647921600,14390,14690.75,14293.5,14654
1648008000,14654,14682.25,14441,14447
1648094400,14462.75,14769.75,14433.5,14763.75
1648180800,14765,14840.5,14572.5,14755.75
1648440000,14756,14997,14658.75,14985.25
1648526400,14981,15268.75,14956.5,15237.75
1648612800,15222,15262.25,15012.25,15071.5
1648699200,15100.5,15180.75,14855.5,14868.75
1648785600,14918.75,14960,14725,14863.75
1649044800,14846,15174.5,14801,15164.25
1649131200,15155.5,15198,14780.25,14828
1649217600,14861,14861.25,14394.75,14505.25
1649304000,14496.25,14633.75,14317,14536
1649390400,14536.25,14642.25,14310.5,14327
1649649600,14345,14382,13984.75,14000
