t,o,h,l,c
1782792300,30134,30134.75,30128.5,30130
1782792600,30130.75,30142.25,30130,30138.25
1782792900,30139.25,30142,30131.25,30135.25
1782793200,30135.5,30157.75,30135,30149.25
1782793500,30149.25,30170,30148.75,30169.25
1782793800,30169.25,30178,30162.5,30177
1782794100,30176.25,30195.5,30176.25,30192.75
1782794400,30192.75,30202.75,30183,30201.5
1782794700,30200.5,30209.5,30184.25,30194
1782795000,30194.5,30204.25,30183.75,30195.75
1782795300,30194.25,30202.75,30185.25,30186.5
1782795600,30187.75,30217,30183,30203
1782795900,30202.5,30206.75,30192,30192.75
1782796200,30193.25,30196.75,30182.5,30194
1782796500,30191.5,30194,30170.25,30174.5
1782796800,30175,30195.5,30172,30189.5
1782797100,30190.5,30192.25,30155,30160.75
1782797400,30163,30164.5,30131,30135.25
1782797700,30134.25,30140.75,30117,30138
1782798000,30138.5,30163,30137.75,30145.75
1782798300,30146.75,30158.25,30142.5,30157.25
1782798600,30156.75,30168.25,30146,30162.25
1782798900,30160.75,30170.25,30155.25,30167
1782799200,30167.75,30173.25,30151,30168.5
1782799500,30164.5,30167.25,30148.25,30154.25
1782799800,30156,30163.25,30146.25,30151.25
1782800100,30152.5,30152.5,30137,30143.75
1782800400,30142.5,30146,30128.75,30138
1782800700,30133.25,30154,30118.25,30144.5
1782801000,30142.75,30148.5,30098,30106
1782801300,30106.5,30122.25,30099,30111.5
1782801600,30113.25,30122.5,30104.25,30106.75
1782801900,30104.25,30128.5,30102.5,30126.5
1782802200,30127,30129.5,30118.5,30123.5
1782802500,30122.25,30134,30119,30132.5
1782802800,30133.25,30150,30122,30135.75
1782803100,30137.75,30151.25,30117.25,30124.5
1782803400,30123.5,30123.5,30106.5,30112
1782803700,30113.25,30124,30110,30116.25
1782804000,30116.5,30131.5,30110,30127.75
1782804300,30127.5,30134.75,30114.5,30117
1782804600,30117.5,30130,30115,30120
1782804900,30121,30131,30114,30115
1782805200,30114.75,30122.75,30103,30106.25
1782805500,30106.25,30106.75,30085.5,30097.5
1782805800,30095.25,30096.5,30069.25,30089.5
1782806100,30088.75,30094.5,30078,30081.25
1782806400,30081,30123.5,30067,30103.75
1782806700,30103,30127.75,30101.5,30109
1782807000,30109.75,30125.5,30089,30089
1782807300,30089.5,30093,30069.25,30091.75
1782807600,30092.25,30118.75,30091.75,30117.5
1782807900,30117.25,30127.25,30112.25,30125.75
1782808200,30124,30135,30079,30079.75
1782808500,30079.25,30086,30036.75,30036.75
1782808800,30037.25,30053.25,30018.75,30046.5
1782809100,30047.75,30050.5,30028.5,30037.75
1782809400,30038.25,30064.5,30022.25,30064.25
1782809700,30064.5,30073.75,30060,30069.25
1782810000,30071.25,30083.25,30060.75,30080
1782810300,30080,30082.75,30061.5,30062
1782810600,30062.5,30078.25,30059,30075.25
1782810900,30074.5,30088,30073.5,30081.5
1782811200,30082.75,30083,30063.25,30067.25
1782811500,30066,30076.25,30059.25,30059.25
1782811800,30060,30062,30034.5,30041.25
1782812100,30040.25,30070.25,30040.25,30070
1782812400,30069.75,30079.25,30067,30072
1782812700,30071,30091.75,30071,30090.5
1782813000,30091.5,30093.75,30080,30082.25
1782813300,30082.25,30088.25,30078.5,30082.5
1782813600,30083,30096,30072.25,30078.75
1782813900,30078,30096.75,30077.25,30088.75
1782814200,30087.5,30103,30068.25,30101.75
1782814500,30101,30112.5,30100.25,30109
1782814800,30109,30114.25,30099.5,30103
1782815100,30104.5,30118.25,30102,30116.25
1782815400,30115.25,30117,30099.75,30101
1782815700,30100,30101.25,30086.5,30096.5
1782816000,30095.75,30109,30095,30101.25
1782816300,30102.75,30122.5,30091,30116.5
1782816600,30116.75,30128.25,30112,30126.25
1782816900,30124.5,30151.5,30121.25,30139.75
1782817200,30141.25,30153.25,30129,30151
1782817500,30151,30170,30151,30159
1782817800,30161.25,30164.5,30151,30164.5
1782818100,30164.5,30168.5,30145,30148.5
1782818400,30148.75,30153.25,30123.25,30124
1782818700,30123,30135.75,30114.25,30134.25
1782819000,30134.75,30142.25,30120.25,30129
1782819300,30129,30137.75,30121.5,30127.25
1782819600,30126.25,30155.5,30125.5,30149.25
1782819900,30149,30169,30146.5,30165.75
1782820200,30166.75,30175.5,30154.5,30159
1782820500,30158,30159,30136,30137
1782820800,30139,30142.75,30094,30102.75
1782821100,30101.75,30110.5,30089.75,30100.25
1782821400,30100.5,30124.5,30083.75,30090
